,Kernel,Gamma,Cost,Accuracy,,,,,,,,,,,,,,,,,,
173,Polynomial,0.001953125,8,38.41059603,,,,,,,,,,,,,,,,,,
174,Polynomial,0.001953125,32,32.45033113,,,,,,,,,,,,,,,,,,
175,Polynomial,0.001953125,128,35.7615894,,,,,,,,,,,,,,,,,,
176,Polynomial,0.001953125,512,37.08609272,,,,,,,,,,,,,,,,,,
177,Polynomial,0.001953125,2048,39.07284768,,,,,,,,,,,,,,,,,,
178,Polynomial,0.001953125,8192,37.08609272,,,,,,,,,,,,,,,,,,
179,Polynomial,0.001953125,32768,37.74834437,,,,,,,,,,,,,,,,,,
180,Polynomial,0.0078125,0.03125,36.42384106,,,,,,,,,,,,,,,,,,
181,Polynomial,0.0078125,0.125,39.07284768,,,,,,,,,,,,,,,,,,
182,Polynomial,0.0078125,0.5,36.42384106,,,,,,,,,,,,,,,,,,
183,Polynomial,0.0078125,1,40.39735099,,,,,,,,,,,,,,,,,,
184,Polynomial,0.0078125,2,38.41059603,,,,,,,,,,,,,,,,,,
185,Polynomial,0.0078125,8,36.42384106,,,,,,,,,,,,,,,,,,
186,Polynomial,0.0078125,32,38.41059603,,,,,,,,,,,,,,,,,,
187,Polynomial,0.0078125,128,37.74834437,,,,,,,,,,,,,,,,,,
188,Polynomial,0.0078125,512,37.08609272,,,,,,,,,,,,,,,,,,
189,Polynomial,0.0078125,2048,33.11258278,,,,,,,,,,,,,,,,,,
190,Polynomial,0.0078125,8192,38.41059603,,,,,,,,,,,,,,,,,,
191,Polynomial,0.0078125,32768,34.43708609,,,,,,,,,,,,,,,,,,
192,Polynomial,0.03125,0.03125,38.41059603,,,,,,,,,,,,,,,,,,
193,Polynomial,0.03125,0.125,39.07284768,,,,,,,,,,,,,,,,,,
194,Polynomial,0.03125,0.5,37.08609272,,,,,,,,,,,,,,,,,,
195,Polynomial,0.03125,1,33.77483444,,,,,,,,,,,,,,,,,,
196,Polynomial,0.03125,2,34.43708609,,,,,,,,,,,,,,,,,,
197,Polynomial,0.03125,8,37.74834437,,,,,,,,,,,,,,,,,,
198,Polynomial,0.03125,32,35.7615894,,,,,,,,,,,,,,,,,,
199,Polynomial,0.03125,128,35.09933775,,,,,,,,,,,,,,,,,,
200,Polynomial,0.03125,512,34.43708609,,,,,,,,,,,,,,,,,,
201,Polynomial,0.03125,2048,39.73509934,,,,,,,,,,,,,,,,,,
202,Polynomial,0.03125,8192,37.74834437,,,,,,,,,,,,,,,,,,
203,Polynomial,0.03125,32768,35.7615894,,,,,,,,,,,,,,,,,,
204,Polynomial,0.125,0.03125,36.42384106,,,,,,,,,,,,,,,,,,
205,Polynomial,0.125,0.125,37.08609272,,,,,,,,,,,,,,,,,,
206,Polynomial,0.125,0.5,36.42384106,,,,,,,,,,,,,,,,,,
207,Polynomial,0.125,1,39.07284768,,,,,,,,,,,,,,,,,,
208,Polynomial,0.125,2,38.41059603,,,,,,,,,,,,,,,,,,
209,Polynomial,0.125,8,39.73509934,,,,,,,,,,,,,,,,,,
210,Polynomial,0.125,32,36.42384106,,,,,,,,,,,,,,,,,,
211,Polynomial,0.125,128,38.41059603,,,,,,,,,,,,,,,,,,
212,Polynomial,0.125,512,37.74834437,,,,,,,,,,,,,,,,,,
213,Polynomial,0.125,2048,36.42384106,,,,,,,,,,,,,,,,,,
214,Polynomial,0.125,8192,39.73509934,,,,,,,,,,,,,,,,,,
215,Polynomial,0.125,32768,39.07284768,,,,,,,,,,,,,,,,,,
216,Polynomial,0.5,0.03125,34.43708609,,,,,,,,,,,,,,,,,,
217,Polynomial,0.5,0.125,36.42384106,,,,,,,,,,,,,,,,,,
218,Polynomial,0.5,0.5,33.77483444,,,,,,,,,,,,,,,,,,
219,Polynomial,0.5,1,35.7615894,,,,,,,,,,,,,,,,,,
220,Polynomial,0.5,2,36.42384106,,,,,,,,,,,,,,,,,,
221,Polynomial,0.5,8,39.07284768,,,,,,,,,,,,,,,,,,
222,Polynomial,0.5,32,36.42384106,,,,,,,,,,,,,,,,,,
223,Polynomial,0.5,128,39.07284768,,,,,,,,,,,,,,,,,,
224,Polynomial,0.5,512,38.41059603,,,,,,,,,,,,,,,,,,
225,Polynomial,0.5,2048,36.42384106,,,,,,,,,,,,,,,,,,
226,Polynomial,0.5,8192,39.07284768,,,,,,,,,,,,,,,,,,
227,Polynomial,0.5,32768,41.05960265,,,,,,,,,,,,,,,,,,
228,Polynomial,1,0.03125,37.74834437,,,,,,,,,,,,,,,,,,
229,Polynomial,1,0.125,39.07284768,,,,,,,,,,,,,,,,,,
230,Polynomial,1,0.5,38.41059603,,,,,,,,,,,,,,,,,,
231,Polynomial,1,1,37.08609272,,,,,,,,,,,,,,,,,,
232,Polynomial,1,2,37.74834437,,,,,,,,,,,,,,,,,,
233,Polynomial,1,8,37.08609272,,,,,,,,,,,,,,,,,,
234,Polynomial,1,32,38.41059603,,,,,,,,,,,,,,,,,,
235,Polynomial,1,128,39.07284768,,,,,,,,,,,,,,,,,,
236,Polynomial,1,512,39.07284768,,,,,,,,,,,,,,,,,,
237,Polynomial,1,2048,39.73509934,,,,,,,,,,,,,,,,,,
238,Polynomial,1,8192,36.42384106,,,,,,,,,,,,,,,,,,
239,Polynomial,1,32768,37.08609272,,,,,,,,,,,,,,,,,,
240,Polynomial,2,0.03125,37.74834437,,,,,,,,,,,,,,,,,,
241,Polynomial,2,0.125,37.74834437,,,,,,,,,,,,,,,,,,
242,Polynomial,2,0.5,34.43708609,,,,,,,,,,,,,,,,,,
243,Polynomial,2,1,37.74834437,,,,,,,,,,,,,,,,,,
244,Polynomial,2,2,39.73509934,,,,,,,,,,,,,,,,,,
